"('Year', 'Year')","('sigName', 'sigName')","('계', '계')","('운영주체별', '공공공연장')","('운영주체별', '민간공연장')","('규모별', '대공연장(1000석~)')","('규모별', '일반공연장(300~999석)')","('규모별', '소공연장(300석미만)')"
2018,합계,408,90,318,20,108,280
2018,종로구,166,10,156,1,24,141
2018,중구,28,12,16,2,18,8
2018,용산구,10,6,4,2,3,5
2018,성동구,8,2,6,-,2,6
2018,광진구,12,3,9,2,8,2
2018,동대문구,3,-,3,-,-,3
2018,중랑구,1,1,-,-,1,-
2018,성북구,10,5,5,-,2,8
2018,강북구,4,3,1,-,2,2
2018,도봉구,5,4,1,-,1,4
2018,노원구,5,3,2,1,2,2
2018,은평구,3,1,2,-,1,2
2018,서대문구,12,2,10,-,4,8
2018,마포구,31,3,28,-,4,27
2018,양천구,3,2,1,-,3,-
2018,강서구,2,1,1,-,1,1
2018,구로구,5,2,3,1,3,1
2018,금천구,5,3,2,-,2,3
2018,영등포구,8,3,5,1,3,4
2018,동작구,2,-,2,-,1,1
2018,관악구,1,1,-,-,1,-
2018,서초구,29,14,15,3,11,15
2018,강남구,37,5,32,2,8,27
2018,송파구,13,1,12,5,2,6
2018,강동구,5,3,2,-,1,4
