"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('예산총괄규모', '예산현액', '계')","('예산총괄규모', '예산현액', '일반회계')","('예산총괄규모', '예산현액', '특별회계')","('예산총괄규모', '세입', '계')","('예산총괄규모', '세입', '일반회계')","('예산총괄규모', '세입', '특별회계')","('예산총괄규모', '세출', '계')","('예산총괄규모', '세출', '일반회계')","('예산총괄규모', '세출', '특별회계')"
1996,도봉구,"90,379","85,455","4,924","94,452","89,046","5,406","74,893","72,388","2,505"
1997,도봉구,"107,991","101,709","6,282","110,929","104,635","6,294","80,137","75,688","4,449"
1998,도봉구,"116,331","110,572","5,759","116,326","110,820","5,506","88,038","83,683","4,355"
1999,도봉구,"125,251","117,965","7,286","130,347","123,299","7,048","91,738","86,839","4,899"
2000,도봉구,"165,988","155,280","10,708","167,442","157,083","10,359","113,765","106,569","7,196"
2001,도봉구,"175,291","161,854","13,437","175,942","162,643","13,299","122,367","111,058","11,309"
2002,도봉구,"169,855","161,498","8,357","171,982","164,095","7,887","123,193","116,973","6,220"
2003,도봉구,"197,238","188,022","9,216","201,946","193,750","8,196","141,403","136,666","4,737"
2004,도봉구,"222,736","212,102","10,634","226,639","216,810","9,829","159,447","151,499","7,948"
2005,도봉구,"219,857","210,572","9,285","223,087","214,272","8,815","174,639","167,377","7,262"
2006,도봉구,"207,152","199,258","7,894","209,675","202,092","7,583","178,417","173,096","5,321"
2007,도봉구,"233,334","225,098","8,236","237,119","228,475","8,644","190,981","184,909","6,072"
2008,도봉구,"272,957","264,612","8,345","283,074","274,644","8,430","228,737","223,122","5,615"
2009,도봉구,"339,403","329,384","10,019","346,356","335,632","10,724","287,197","282,306","4,890"
2010,도봉구,"324,978","313,988","10,990","319,686","307,996","11,690","279,088","273,799","5,289"
2011,도봉구,"298,896","287,568","11,328","302,172","290,670","11,502","264,018","258,039","5,979"
2012,도봉구,"334,711","324,195","10,516","335,666","325,034","10,632","292,159","287,452","4,707"
2013,도봉구,"368,817","357,791","11,026","371,500","360,198","11,302","317,518","313,498","4,020"
2014,도봉구,"409,012","396,869","12,143","412,004","399,554","12,450","357,778","353,369","4,409"
2015,도봉구,"456,009","443,077","12,932","463,184","448,733","14,451","404,327","398,290","6,037"
2016,도봉구,"495,906","482,066","13,840","515,289","500,712","14,577","426,297","419,877","6,419"
2017,도봉구,"548,184","534,816","13,368","584,349","570,366","13,982","479,657","474,259","5,398"
2018,도봉구,"618,862","604,892","13,970","664,004","649,336","14,668","531,804","526,637","5,167"
2019,도봉구,"715,087","697,326","17,761","754,959","736,460","18,499","606,550","598,446","8,104"
