"('Year', 'Year', 'Year')","('sigName', 'sigName', 'sigName')","('합계', '계', '연장')","('합계', '계', '면적')","('합계', '포장', '연장')","('합계', '포장', '면적')","('합계', '미포장', '연장')","('합계', '미포장', '면적')","('고속도로', '포장', '연장')","('고속도로', '포장', '면적')","('일반국도', '계', '연장')","('일반국도', '계', '면적')","('일반국도', '포장', '연장')","('일반국도', '포장', '면적')","('일반국도', '미포장', '연장')","('일반국도', '미포장', '면적')","('특별시도', '계', '연장')","('특별시도', '계', '면적')","('특별시도', '포장', '연장')","('특별시도', '포장', '면적')","('특별시도', '미포장', '연장')","('특별시도', '미포장', '면적')"
2002,서울시,"7,972,801","80,066,166","7,960,782","80,014,955","12,019","51,211","22,146","629,778","168,880","6,219,938","168,880","6,219,938",0,0,"7,781,775","73,216,450","7,769,756","73,165,239","12,019","51,211"
2002,종로구,"271,516","2,637,815","271,516","2,637,815",0,0,0,0,"7,450","319,500","7,450","319,500",0,0,"264,066","2,318,315","264,066","2,318,315",0,0
2002,중구,"111,353","1,839,197","111,353","1,839,197",0,0,0,0,"8,060","313,400","8,060","313,400",0,0,"103,293","1,525,797","103,293","1,525,797",0,0
2002,용산구,"278,271","3,107,115","278,271","3,107,115",0,0,0,0,"4,700","258,994","4,700","258,994",0,0,"273,571","2,848,121","273,571","2,848,121",0,0
2002,성동구,"401,051","2,909,737","401,051","2,909,737",0,0,0,0,"5,980","221,750","5,980","221,750",0,0,"395,071","2,687,987","395,071","2,687,987",0,0
2002,광진구,"321,640","3,260,669","321,640","3,260,669",0,0,0,0,"10,320","298,002","10,320","298,002",0,0,"311,320","2,962,667","311,320","2,962,667",0,0
2002,동대문구,"319,537","2,997,985","319,537","2,997,985",0,0,0,0,"11,100","350,430","11,100","350,430",0,0,"308,437","2,647,555","308,437","2,647,555",0,0
2002,중랑구,"314,777","2,566,450","314,777","2,566,450",0,0,0,0,"11,200","353,570","11,200","353,570",0,0,"303,577","2,212,880","303,577","2,212,880",0,0
2002,성북구,"615,402","3,789,048","615,402","3,789,048",0,0,0,0,"2,350","70,500","2,350","70,500",0,0,"613,052","3,718,548","613,052","3,718,548",0,0
2002,강북구,"219,009","1,863,264","218,447","1,860,806",562,"2,458",0,0,"3,300","86,000","3,300","86,000",0,0,"215,709","1,777,264","215,147","1,774,806",562,"2,458"
2002,도봉구,"252,117","2,276,561","252,117","2,276,561",0,0,0,0,"5,900","236,000","5,900","236,000",0,0,"246,217","2,040,561","246,217","2,040,561",0,0
2002,노원구,"285,786","3,526,836","285,556","3,524,996",230,"1,840",0,0,0,0,0,0,0,0,"285,786","3,526,836","285,556","3,524,996",230,"1,840"
2002,은평구,"327,669","2,948,046","322,562","2,926,143","5,107","21,903",0,0,"6,300","220,500","6,300","220,500",0,0,"321,369","2,727,546","316,262","2,705,643","5,107","21,903"
2002,서대문구,"301,271","2,614,499","301,271","2,614,499",0,0,0,0,"10,450","350,500","10,450","350,500",0,0,"290,821","2,263,999","290,821","2,263,999",0,0
2002,마포구,"410,480","3,842,767","410,480","3,842,767",0,0,0,0,"11,750","385,400","11,750","385,400",0,0,"398,730","3,457,367","398,730","3,457,367",0,0
2002,양천구,"396,736","3,458,874","396,736","3,458,874",0,0,500,"17,280",0,0,0,0,0,0,"396,236","3,441,594","396,236","3,441,594",0,0
2002,강서구,"367,400","4,243,257","361,280","4,218,247","6,120","25,010","3,000","90,000","15,050","465,292","15,050","465,292",0,0,"349,350","3,687,965","343,230","3,662,955","6,120","25,010"
2002,구로구,"275,560","2,799,778","275,560","2,799,778",0,0,0,0,"6,290","265,928","6,290","265,928",0,0,"269,270","2,533,850","269,270","2,533,850",0,0
2002,금천구,"177,652","1,916,385","177,652","1,916,385",0,0,"2,900","58,000","6,130","245,472","6,130","245,472",0,0,"168,622","1,612,913","168,622","1,612,913",0,0
2002,영등포구,"385,899","4,362,642","385,899","4,362,642",0,0,0,0,"12,150","422,500","12,150","422,500",0,0,"373,749","3,940,142","373,749","3,940,142",0,0
2002,동작구,"226,141","2,517,859","226,141","2,517,859",0,0,0,0,"2,900","101,500","2,900","101,500",0,0,"223,241","2,416,359","223,241","2,416,359",0,0
2002,관악구,"315,006","2,674,324","315,006","2,674,324",0,0,0,0,"2,100","96,600","2,100","96,600",0,0,"312,906","2,577,724","312,906","2,577,724",0,0
2002,서초구,"345,957","4,904,656","345,957","4,904,656",0,0,"9,526","255,592","4,200","202,360","4,200","202,360",0,0,"332,231","4,446,704","332,231","4,446,704",0,0
2002,강남구,"422,189","5,443,381","422,189","5,443,381",0,0,800,"17,600","7,900","380,640","7,900","380,640",0,0,"413,489","5,045,141","413,489","5,045,141",0,0
2002,송파구,"351,897","4,490,345","351,897","4,490,345",0,0,"1,680","39,312","6,150","265,920","6,150","265,920",0,0,"344,067","4,185,113","344,067","4,185,113",0,0
2002,강동구,"278,485","3,074,676","278,485","3,074,676",0,0,"3,740","151,994","7,150","309,180","7,150","309,180",0,0,"267,595","2,613,502","267,595","2,613,502",0,0
