"('Year',)","('sigName',)","('급수대상총인구',)","('급수인구',)","('보급률(%)',)","('시설용량(㎥/일)',)","('급수량(㎥/일)',)","('1일1인당급수량(ℓ)',)","('급수전수',)"
1993,구로구,"724,230","724,230",100,…,…,0...,"88,870"
1994,구로구,"698,274","698,274",100,…,…,0...,"90,472"
1995,구로구,"383,224","383,224",100,…,…,0...,"58,959"
1996,구로구,"378,676","378,676",100,…,…,0...,"62,245"
1997,구로구,"377,660","377,660",100,…,…,0...,"68,063"
1998,구로구,"381,794","381,794",100,…,…,…,"66,042"
1999,구로구,"396,644","396,644",100,…,…,…,"64,279"
2000,구로구,"404,786","404,786",100,…,"147,112.7046",373,"63,667"
2001,구로구,"417,453","417,453",100,…,…,…,"32,813"
2002,구로구,"415,789","415,789",100,…,…,0...,"66,566"
2003,구로구,"419,438","419,438",100,…,…,0...,"67,186"
2004,구로구,"424,725","424,725",100,…,…,0...,0...
2005,구로구,"427,119","427,119",100,…,…,…,"66,801"
2006,구로구,"436,786","436,786",100,…,"124,504",285,"66,261"
2007,구로구,"445,095","445,095",100,…,"126,550",284,"66,359"
2008,구로구,"448,696","448,696",100,-,"125,964",281,"66,458"
2009,구로구,"449,613","449,613",100,-,"123,402",274,"66,716"
2010,구로구,"452,667","452,667",100,-,"125,132",276,"65,188"
2011,구로구,"458,908","458,908",100,-,"154,088",268,"67,631"
2012,구로구,"454,478","454,478",100,-,"122,134",269,"69,162"
2013,구로구,"452,168","452,168",100,-,"126,157",279,"70,348"
2014,구로구,"457,131","457,131",100,-,"135,197",296,"71,857"
2015,구로구,"454,604","454,604",100,-,"128,919",284,"73,219"
2016,구로구,"449,600","449,600",100,-,"127,107",283,"74,973"
2017,구로구,"441,559","441,559",100,-,"133,434",302,"76,838"
2018,구로구,"438,486","438,486",100,-,"135,987",310,"76,878"
2019,구로구,"439,371","439,371",100,-,"135,917",309,"79,882"
